ma_id_1,ma_id_2,review_id_1,review_id_2,n_shared,n_ma1,n_ma2,jaccard,shared_studies
CD013232__A3,CD014965__A6,CD013232,CD014965,4,62,8,0.0606,devane 2019; ghanizadeh 2014; marcus 2009; owen 2009
CD011535__A4,CD014741__A3,CD011535,CD014741,4,43,30,0.058,bachelez 2015; bagel 2012; torii 2010; tyring 2006
CD013232__A16,CD014965__A1,CD013232,CD014965,4,57,16,0.058,marcus 2009; mccracken 2002; mcdougle 1998; owen 2009
CD011535__A3,CD014741__A5,CD011535,CD014741,4,28,47,0.0563,bachelez 2015; leonardi 2003; torii 2010; van de kerkhof 2008
CD013232__A1,CD014965__A27,CD013232,CD014965,4,76,4,0.0526,ichikawa 2017; loebel 2016; marcus 2009; nct00468130
CD013232__A1,CD014965__A9,CD013232,CD014965,4,76,4,0.0526,ghanizadeh 2014; ichikawa 2017; marcus 2009; mcdougle 1998
CD013232__A1,CD014965__A18,CD013232,CD014965,4,76,5,0.0519,marcus 2009; mccracken 2002; nct00198107; owen 2009
CD013232__A1,CD014965__A19,CD013232,CD014965,4,76,5,0.0519,marcus 2009; mccracken 2002; nct00198107; owen 2009
CD013232__A1,CD014965__A15,CD013232,CD014965,4,76,6,0.0513,marcus 2009; mccracken 2002; nct00198107; owen 2009
CD001155__A2,CD003376__A2,CD001155,CD003376,4,69,17,0.0488,iwamoto 2005; köşüş 2005; russo 1996; sahota 2000
CD011381__A5,CD012186__A1,CD011381,CD012186,4,4,85,0.0471,camms223 2008; clarity 2010; combirx 2013; decide 2015
CD011381__A10,CD012186__A1,CD011381,CD012186,4,5,85,0.0465,decide 2015; radiance 2019; select 2013; sunbeam 2019
CD011381__A8,CD012186__A1,CD011381,CD012186,4,5,85,0.0465,decide 2015; radiance 2019; select 2013; sunbeam 2019
CD004307__A3,CD015120__A1,CD004307,CD015120,4,46,46,0.0455,etter 2016; halpern 2015; lasser 2017; volpp 2009
CD011381__A5,CD012186__A2,CD011381,CD012186,4,4,105,0.0381,camms223 2008; clarity 2010; combirx 2013; decide 2015
CD011381__A10,CD012186__A2,CD011381,CD012186,4,5,105,0.0377,decide 2015; radiance 2019; select 2013; sunbeam 2019
CD011381__A8,CD012186__A2,CD011381,CD012186,4,5,105,0.0377,decide 2015; radiance 2019; select 2013; sunbeam 2019
CD012186__A2,CD015443__A3,CD012186,CD015443,4,105,5,0.0377,ellison 1989; european study group 1998; informs 2016; nasp 2004
CD001920__A6,CD016002__A2,CD001920,CD016002,4,113,13,0.0328,aravind 2022; duncan 1998; duncan 2003; letombe 2010
CD001920__A6,CD016002__A1,CD001920,CD016002,4,113,26,0.0296,aravind 2022; duncan 1998; duncan 2003; letombe 2010
CD001920__A3,CD016002__A15,CD001920,CD016002,4,130,15,0.0284,aravind 2022; duncan 1998; duncan 2003; knox 2018
CD001920__A4,CD016002__A13,CD001920,CD016002,4,147,13,0.0256,aravind 2022; knox 2018; richards 1993; yang 2006
CD001920__A4,CD016002__A16,CD001920,CD016002,4,147,16,0.0252,aravind 2022; duncan 1998; knox 2018; richards 1993
CD004376__A2,CD006185__A7,CD004376,CD006185,4,123,101,0.0182,chang 2012; kim 2020; lee 2019; lu 2017
CD004376__A2,CD006185__A8,CD004376,CD006185,4,123,101,0.0182,chang 2012; kim 2020; lee 2019; lu 2017
CD004376__A5,CD006185__A7,CD004376,CD006185,4,129,101,0.0177,chang 2012; kim 2020; lee 2019; lu 2017
CD004376__A5,CD006185__A8,CD004376,CD006185,4,129,101,0.0177,chang 2012; kim 2020; lee 2019; lu 2017
CD015134__A1,CD016131__A6,CD015134,CD016131,3,4,6,0.4286,kampmann 2023; madhi 2020; simões 2022
CD015134__A2,CD016131__A6,CD015134,CD016131,3,4,6,0.4286,kampmann 2023; madhi 2020; simões 2022
CD015134__A6,CD016131__A6,CD015134,CD016131,3,4,6,0.4286,kampmann 2023; madhi 2020; simões 2022
CD015134__A3,CD016131__A6,CD015134,CD016131,3,5,6,0.375,kampmann 2023; madhi 2020; simões 2022
CD015134__A5,CD016131__A6,CD015134,CD016131,3,6,6,0.3333,kampmann 2023; madhi 2020; simões 2022
CD015134__A7,CD016131__A6,CD015134,CD016131,3,6,6,0.3333,kampmann 2023; madhi 2020; simões 2022
CD013052__A3,CD013053__A2,CD013052,CD013053,3,9,5,0.2727,de miguel 1999; esposito 1990; ramos 2003
CD013232__A21,CD014965__A20,CD013232,CD014965,3,10,4,0.2727,loebel 2016; marcus 2009; owen 2009
CD013232__A21,CD014965__A27,CD013232,CD014965,3,10,4,0.2727,ichikawa 2017; loebel 2016; marcus 2009
CD013232__A21,CD014965__A9,CD013232,CD014965,3,10,4,0.2727,ichikawa 2017; marcus 2009; mcdougle 1998
CD013052__A3,CD013053__A1,CD013052,CD013053,3,9,6,0.25,de miguel 1999; esposito 1990; ramos 2003
CD013232__A19,CD014965__A20,CD013232,CD014965,3,11,4,0.25,loebel 2016; marcus 2009; owen 2009
CD013232__A19,CD014965__A9,CD013232,CD014965,3,11,4,0.25,ichikawa 2017; marcus 2009; mcdougle 1998
CD013232__A21,CD014965__A18,CD013232,CD014965,3,10,5,0.25,marcus 2009; mccracken 2002; owen 2009
CD013232__A21,CD014965__A19,CD013232,CD014965,3,10,5,0.25,marcus 2009; mccracken 2002; owen 2009
CD013232__A19,CD014965__A18,CD013232,CD014965,3,11,5,0.2308,marcus 2009; mccracken 2002; owen 2009
CD013232__A19,CD014965__A19,CD013232,CD014965,3,11,5,0.2308,marcus 2009; mccracken 2002; owen 2009
CD013232__A21,CD014965__A15,CD013232,CD014965,3,10,6,0.2308,marcus 2009; mccracken 2002; owen 2009
CD007110__A3,CD010533__A1,CD007110,CD010533,3,8,9,0.2143,hd16; hd17; uk ncri rapid
CD013232__A19,CD014965__A15,CD013232,CD014965,3,11,6,0.2143,marcus 2009; mccracken 2002; owen 2009
CD015134__A1,CD016131__A2,CD015134,CD016131,3,4,13,0.2143,kampmann 2023; madhi 2020; simões 2022
CD015134__A2,CD016131__A2,CD015134,CD016131,3,4,13,0.2143,kampmann 2023; madhi 2020; simões 2022
CD015134__A6,CD016131__A2,CD015134,CD016131,3,4,13,0.2143,kampmann 2023; madhi 2020; simões 2022
CD015518__A4,CD015519__A3,CD015518,CD015519,3,13,4,0.2143,piraux 2020; schmidt 2015; segal 2009
CD007110__A1,CD010533__A1,CD007110,CD010533,3,9,9,0.2,hd16; hd17; uk ncri rapid
CD007110__A2,CD010533__A1,CD007110,CD010533,3,9,9,0.2,hd16; hd17; uk ncri rapid
CD007110__A3,CD010533__A2,CD007110,CD010533,3,8,10,0.2,hd16; hd17; uk ncri rapid
CD015134__A1,CD016131__A1,CD015134,CD016131,3,4,14,0.2,kampmann 2023; madhi 2020; simões 2022
CD015134__A2,CD016131__A1,CD015134,CD016131,3,4,14,0.2,kampmann 2023; madhi 2020; simões 2022
CD015134__A3,CD016131__A2,CD015134,CD016131,3,5,13,0.2,kampmann 2023; madhi 2020; simões 2022
CD015134__A6,CD016131__A1,CD015134,CD016131,3,4,14,0.2,kampmann 2023; madhi 2020; simões 2022
CD015518__A4,CD015519__A1,CD015518,CD015519,3,13,5,0.2,piraux 2020; schmidt 2015; segal 2009
CD015518__A4,CD015519__A2,CD015518,CD015519,3,13,5,0.2,piraux 2020; schmidt 2015; segal 2009
CD007110__A1,CD010533__A2,CD007110,CD010533,3,9,10,0.1875,hd16; hd17; uk ncri rapid
CD007110__A2,CD010533__A2,CD007110,CD010533,3,9,10,0.1875,hd16; hd17; uk ncri rapid
CD015134__A3,CD016131__A1,CD015134,CD016131,3,5,14,0.1875,kampmann 2023; madhi 2020; simões 2022
CD015134__A5,CD016131__A2,CD015134,CD016131,3,6,13,0.1875,kampmann 2023; madhi 2020; simões 2022
CD015134__A7,CD016131__A2,CD015134,CD016131,3,6,13,0.1875,kampmann 2023; madhi 2020; simões 2022
CD015518__A1,CD015519__A3,CD015518,CD015519,3,15,4,0.1875,piraux 2020; schmidt 2015; segal 2009
CD015134__A5,CD016131__A1,CD015134,CD016131,3,6,14,0.1765,kampmann 2023; madhi 2020; simões 2022
CD015134__A7,CD016131__A1,CD015134,CD016131,3,6,14,0.1765,kampmann 2023; madhi 2020; simões 2022
CD015518__A1,CD015519__A1,CD015518,CD015519,3,15,5,0.1765,piraux 2020; schmidt 2015; segal 2009
CD015518__A1,CD015519__A2,CD015518,CD015519,3,15,5,0.1765,piraux 2020; schmidt 2015; segal 2009
CD015518__A2,CD015519__A3,CD015518,CD015519,3,16,4,0.1765,piraux 2020; schmidt 2015; segal 2009
CD013232__A21,CD014965__A2,CD013232,CD014965,3,10,11,0.1667,loebel 2016; marcus 2009; mcdougle 1998
CD013232__A21,CD014965__A3,CD013232,CD014965,3,10,11,0.1667,loebel 2016; marcus 2009; mcdougle 1998
CD013232__A18,CD014965__A22,CD013232,CD014965,3,18,3,0.1667,mccracken 2002; nct00198107; owen 2009
CD015518__A2,CD015519__A1,CD015518,CD015519,3,16,5,0.1667,piraux 2020; schmidt 2015; segal 2009
CD015518__A2,CD015519__A2,CD015518,CD015519,3,16,5,0.1667,piraux 2020; schmidt 2015; segal 2009
CD013232__A18,CD014965__A20,CD013232,CD014965,3,18,4,0.1579,loebel 2016; marcus 2009; owen 2009
CD013232__A18,CD014965__A9,CD013232,CD014965,3,18,4,0.1579,ichikawa 2017; marcus 2009; mcdougle 1998
CD013232__A19,CD014965__A2,CD013232,CD014965,3,11,11,0.1579,loebel 2016; marcus 2009; mcdougle 1998
CD013232__A19,CD014965__A3,CD013232,CD014965,3,11,11,0.1579,loebel 2016; marcus 2009; mcdougle 1998
CD013232__A12,CD014965__A20,CD013232,CD014965,3,25,4,0.1154,loebel 2016; marcus 2009; owen 2009
CD013232__A12,CD014965__A27,CD013232,CD014965,3,25,4,0.1154,ichikawa 2017; loebel 2016; marcus 2009
CD013232__A12,CD014965__A9,CD013232,CD014965,3,25,4,0.1154,ichikawa 2017; marcus 2009; mcdougle 1998
CD013232__A12,CD014965__A18,CD013232,CD014965,3,25,5,0.1111,marcus 2009; mccracken 2002; owen 2009
CD013232__A12,CD014965__A19,CD013232,CD014965,3,25,5,0.1111,marcus 2009; mccracken 2002; owen 2009
CD013232__A12,CD014965__A15,CD013232,CD014965,3,25,6,0.1071,marcus 2009; mccracken 2002; owen 2009
CD013232__A6,CD014965__A4,CD013232,CD014965,3,27,7,0.0968,devane 2019; ghanizadeh 2014; mccracken 2002
CD013232__A10,CD014965__A3,CD013232,CD014965,3,26,11,0.0882,devane 2019; ghanizadeh 2014; luby 2006
CD013232__A13,CD014965__A1,CD013232,CD014965,3,26,16,0.0769,mccracken 2002; nct00468130; nct01624675
CD013232__A10,CD014965__A1,CD013232,CD014965,3,26,16,0.0769,devane 2019; ghanizadeh 2014; luby 2006
CD013232__A4,CD014965__A5,CD013232,CD014965,3,35,10,0.0714,devane 2019; ghanizadeh 2014; shea 2004
CD013232__A4,CD014965__A7,CD013232,CD014965,3,35,11,0.0698,devane 2019; ghanizadeh 2014; shea 2004
CD013232__A4,CD014965__A1,CD013232,CD014965,3,35,16,0.0625,devane 2019; ghanizadeh 2014; shea 2004
CD013232__A9,CD014965__A11,CD013232,CD014965,3,52,3,0.0577,ghanizadeh 2014; ichikawa 2017; marcus 2009
CD013232__A9,CD014965__A20,CD013232,CD014965,3,52,4,0.0566,loebel 2016; marcus 2009; owen 2009
CD013232__A9,CD014965__A27,CD013232,CD014965,3,52,4,0.0566,ichikawa 2017; loebel 2016; marcus 2009
CD013232__A9,CD014965__A9,CD013232,CD014965,3,52,4,0.0566,ghanizadeh 2014; ichikawa 2017; marcus 2009
CD011841__A2,CD013763__A11,CD011841,CD013763,3,26,31,0.0556,arora 2019; chen 2020; park 2021
CD013232__A7,CD014965__A11,CD013232,CD014965,3,54,3,0.0556,ghanizadeh 2014; ichikawa 2017; marcus 2009
CD013232__A9,CD014965__A18,CD013232,CD014965,3,52,5,0.0556,marcus 2009; mccracken 2002; owen 2009
CD013232__A9,CD014965__A19,CD013232,CD014965,3,52,5,0.0556,marcus 2009; mccracken 2002; owen 2009
CD013232__A7,CD014965__A20,CD013232,CD014965,3,54,4,0.0545,loebel 2016; marcus 2009; owen 2009
CD013232__A7,CD014965__A27,CD013232,CD014965,3,54,4,0.0545,ichikawa 2017; loebel 2016; marcus 2009
CD013232__A9,CD014965__A15,CD013232,CD014965,3,52,6,0.0545,marcus 2009; mccracken 2002; owen 2009
CD013232__A7,CD014965__A18,CD013232,CD014965,3,54,5,0.0536,marcus 2009; mccracken 2002; owen 2009
CD013232__A7,CD014965__A19,CD013232,CD014965,3,54,5,0.0536,marcus 2009; mccracken 2002; owen 2009
CD013232__A8,CD014965__A20,CD013232,CD014965,3,55,4,0.0536,loebel 2016; marcus 2009; owen 2009
CD013232__A14,CD014965__A20,CD013232,CD014965,3,56,4,0.0526,loebel 2016; marcus 2009; owen 2009
CD013232__A14,CD014965__A27,CD013232,CD014965,3,56,4,0.0526,ichikawa 2017; loebel 2016; marcus 2009
CD013232__A7,CD014965__A15,CD013232,CD014965,3,54,6,0.0526,marcus 2009; mccracken 2002; owen 2009
CD013232__A8,CD014965__A18,CD013232,CD014965,3,55,5,0.0526,marcus 2009; mccracken 2002; owen 2009
CD013232__A8,CD014965__A19,CD013232,CD014965,3,55,5,0.0526,marcus 2009; mccracken 2002; owen 2009
CD013232__A14,CD014965__A18,CD013232,CD014965,3,56,5,0.0517,marcus 2009; mccracken 2002; owen 2009
CD013232__A14,CD014965__A19,CD013232,CD014965,3,56,5,0.0517,marcus 2009; mccracken 2002; owen 2009
CD013232__A8,CD014965__A13,CD013232,CD014965,3,55,6,0.0517,loebel 2016; marcus 2009; owen 2009
CD013232__A8,CD014965__A15,CD013232,CD014965,3,55,6,0.0517,marcus 2009; mccracken 2002; owen 2009
CD013614__A17,CD014741__A4,CD013614,CD014741,3,20,42,0.0508,mease 2000; mease 2004; torii 2010
CD013232__A14,CD014965__A15,CD013232,CD014965,3,56,6,0.0508,marcus 2009; mccracken 2002; owen 2009
CD013232__A16,CD014965__A18,CD013232,CD014965,3,57,5,0.0508,marcus 2009; mccracken 2002; owen 2009
CD013232__A16,CD014965__A19,CD013232,CD014965,3,57,5,0.0508,marcus 2009; mccracken 2002; owen 2009
CD013232__A8,CD014965__A4,CD013232,CD014965,3,55,7,0.0508,ghanizadeh 2014; marcus 2009; mccracken 2002
CD013232__A14,CD014965__A4,CD013232,CD014965,3,56,7,0.05,ichikawa 2017; marcus 2009; mccracken 2002
CD013232__A16,CD014965__A15,CD013232,CD014965,3,57,6,0.05,marcus 2009; mccracken 2002; owen 2009
CD011841__A1,CD013763__A11,CD011841,CD013763,3,33,31,0.0492,arora 2019; chen 2020; park 2021
CD013232__A16,CD014965__A4,CD013232,CD014965,3,57,7,0.0492,marcus 2009; mccracken 2002; mcdougle 1998
CD013232__A16,CD014965__A14,CD013232,CD014965,3,57,8,0.0484,marcus 2009; mccracken 2002; owen 2009
CD013232__A16,CD014965__A24,CD013232,CD014965,3,57,8,0.0484,marcus 2009; mccracken 2002; owen 2009
CD013232__A16,CD014965__A25,CD013232,CD014965,3,57,8,0.0484,marcus 2009; mccracken 2002; owen 2009
CD013232__A16,CD014965__A26,CD013232,CD014965,3,57,8,0.0484,marcus 2009; mccracken 2002; owen 2009
CD013232__A16,CD014965__A6,CD013232,CD014965,3,57,8,0.0484,marcus 2009; mcdougle 1998; owen 2009
CD013232__A8,CD014965__A2,CD013232,CD014965,3,55,11,0.0476,ghanizadeh 2014; loebel 2016; marcus 2009
CD013232__A8,CD014965__A3,CD013232,CD014965,3,55,11,0.0476,ghanizadeh 2014; loebel 2016; marcus 2009
CD013614__A17,CD014741__A5,CD013614,CD014741,3,20,47,0.0469,mease 2000; mease 2004; torii 2010
CD013232__A3,CD014965__A18,CD013232,CD014965,3,62,5,0.0469,marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A19,CD013232,CD014965,3,62,5,0.0469,marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A15,CD013232,CD014965,3,62,6,0.0462,marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A14,CD013232,CD014965,3,62,8,0.0448,marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A24,CD013232,CD014965,3,62,8,0.0448,marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A25,CD013232,CD014965,3,62,8,0.0448,marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A26,CD013232,CD014965,3,62,8,0.0448,marcus 2009; mccracken 2002; owen 2009
CD015014__A18,CD016064__A1,CD015014,CD016064,3,4,68,0.0435,man 2020; neyens 2009; rubenstein 1990
CD013232__A3,CD014965__A2,CD013232,CD014965,3,62,11,0.0429,devane 2019; ghanizadeh 2014; marcus 2009
CD013232__A3,CD014965__A3,CD013232,CD014965,3,62,11,0.0429,devane 2019; ghanizadeh 2014; marcus 2009
CD010216__A1,CD015120__A1,CD010216,CD015120,3,31,46,0.0405,hajek 2019; martinez 2021; walker 2020
CD013232__A1,CD014965__A11,CD013232,CD014965,3,76,3,0.0395,ghanizadeh 2014; ichikawa 2017; marcus 2009
CD013232__A1,CD014965__A22,CD013232,CD014965,3,76,3,0.0395,mccracken 2002; nct00198107; owen 2009
CD002290__A1,CD003594__A1,CD002290,CD003594,3,55,25,0.039,iskdc 1970; iskdc 1974; ravani 2020
CD013232__A1,CD014965__A20,CD013232,CD014965,3,76,4,0.039,loebel 2016; marcus 2009; owen 2009
CD013232__A1,CD014965__A8,CD013232,CD014965,3,76,4,0.039,devane 2019; ghanizadeh 2014; mcdougle 1998
CD012186__A1,CD015443__A5,CD012186,CD015443,3,85,7,0.0337,expand 2018; nasp 2004; oratorio 2017
CD001920__A5,CD016002__A15,CD001920,CD016002,3,94,15,0.0283,aravind 2022; duncan 1998; duncan 2003
CD001431__A4,CD013822__A4,CD001431,CD013822,3,104,6,0.028,mathieu 2007; mathieu 2010; schapira 2019
CD001431__A4,CD013822__A5,CD001431,CD013822,3,104,7,0.0278,mathieu 2007; mathieu 2010; roberto 2020
CD001920__A6,CD016002__A15,CD001920,CD016002,3,113,15,0.024,aravind 2022; duncan 1998; duncan 2003
CD001920__A1,CD016002__A15,CD001920,CD016002,3,118,15,0.0231,aravind 2022; duncan 1998; duncan 2003
CD001920__A1,CD016002__A16,CD001920,CD016002,3,118,16,0.0229,aravind 2022; duncan 1998; richards 1993
CD001920__A2,CD016002__A15,CD001920,CD016002,3,124,15,0.0221,aravind 2022; duncan 1998; duncan 2003
CD001920__A2,CD016002__A16,CD001920,CD016002,3,124,16,0.0219,aravind 2022; duncan 1998; richards 1993
CD012586__A1,CD013827__A12,CD012586,CD013827,3,134,8,0.0216,begueria 2019; giles 2021; yu 2018
CD001920__A3,CD016002__A13,CD001920,CD016002,3,130,13,0.0214,aravind 2022; knox 2018; richards 1993
CD012586__A1,CD013827__A11,CD012586,CD013827,3,134,10,0.0213,begueria 2019; giles 2021; yu 2018
CD012586__A1,CD013827__A2,CD012586,CD013827,3,134,10,0.0213,begueria 2019; giles 2021; yu 2018
CD012586__A1,CD013827__A9,CD012586,CD013827,3,134,11,0.0211,begueria 2019; giles 2021; yu 2018
CD012586__A1,CD013827__A10,CD012586,CD013827,3,134,12,0.021,begueria 2019; giles 2021; yu 2018
CD012586__A1,CD013827__A8,CD012586,CD013827,3,134,12,0.021,begueria 2019; giles 2021; yu 2018
CD006919__A1,CD012586__A1,CD006919,CD012586,3,14,134,0.0207,chatillon-boissier 2012; kingsland 1992; sunkara 2014
CD006919__A6,CD012586__A1,CD006919,CD012586,3,14,134,0.0207,chatillon-boissier 2012; sunkara 2014; yang 1996
CD001920__A4,CD016001__A14,CD001920,CD016001,3,147,9,0.0196,knox 2018; park 2021; signal 2014
CD006919__A3,CD012586__A1,CD006919,CD012586,3,26,134,0.0191,chatillon-boissier 2012; kingsland 1992; sunkara 2014
CD001431__A2,CD013822__A4,CD001431,CD013822,3,161,6,0.0183,mathieu 2007; mathieu 2010; schapira 2019
CD001431__A2,CD013822__A5,CD001431,CD013822,3,161,7,0.0182,mathieu 2007; mathieu 2010; roberto 2020
CD001920__A4,CD016001__A1,CD001920,CD016001,3,147,24,0.0179,knox 2018; park 2021; signal 2014
CD001920__A4,CD008349__A10,CD001920,CD008349,3,147,25,0.0178,kim 2012a; park 2021; song 2015
CD001431__A3,CD013822__A4,CD001431,CD013822,3,167,6,0.0176,mathieu 2007; mathieu 2010; schapira 2019
CD001431__A3,CD013822__A5,CD001431,CD013822,3,167,7,0.0175,mathieu 2007; mathieu 2010; roberto 2020
CD001431__A1,CD013822__A4,CD001431,CD013822,3,170,6,0.0173,mathieu 2007; mathieu 2010; schapira 2019
CD001431__A1,CD013822__A5,CD001431,CD013822,3,170,7,0.0172,mathieu 2007; mathieu 2010; roberto 2020
CD004376__A4,CD006185__A7,CD004376,CD006185,3,86,101,0.0163,kim 2020; lee 2019; lu 2017
CD004376__A4,CD006185__A8,CD004376,CD006185,3,86,101,0.0163,kim 2020; lee 2019; lu 2017
CD004376__A1,CD006185__A7,CD004376,CD006185,3,133,101,0.013,chang 2012; lee 2019; lu 2017
CD004376__A1,CD006185__A8,CD004376,CD006185,3,133,101,0.013,chang 2012; lee 2019; lu 2017
CD015530__A2,CD015551__A4,CD015530,CD015551,2,2,4,0.5,mullane 2019; thomas 2022
CD015530__A2,CD015551__A1,CD015530,CD015551,2,2,5,0.4,mullane 2019; thomas 2022
CD015530__A3,CD015551__A4,CD015530,CD015551,2,3,4,0.4,mullane 2019; thomas 2022
CD015215__A13,CD015252__A5,CD015215,CD015252,2,4,4,0.3333,dempster 1993; gates 1989
CD015530__A2,CD015551__A2,CD015530,CD015551,2,2,6,0.3333,mullane 2019; thomas 2022
CD015530__A2,CD015551__A3,CD015530,CD015551,2,2,6,0.3333,mullane 2019; thomas 2022
CD015530__A3,CD015551__A1,CD015530,CD015551,2,3,5,0.3333,mullane 2019; thomas 2022
CD012712__A19,CD013827__A13,CD012712,CD013827,2,7,2,0.2857,chen 2019; zhu 2021
CD012067__A12,CD013414__A6,CD012067,CD013414,2,6,3,0.2857,brosnahan 2022; tame-pkd 2018
CD012067__A13,CD013414__A6,CD012067,CD013414,2,6,3,0.2857,brosnahan 2022; tame-pkd 2018
CD015134__A4,CD016131__A6,CD015134,CD016131,2,3,6,0.2857,kampmann 2023; simões 2022
CD015215__A12,CD015252__A5,CD015215,CD015252,2,5,4,0.2857,dempster 1993; gates 1989
CD015215__A13,CD015252__A2,CD015215,CD015252,2,4,5,0.2857,dempster 1993; gates 1989
CD015530__A1,CD015551__A4,CD015530,CD015551,2,5,4,0.2857,mullane 2019; thomas 2022
CD015530__A3,CD015551__A2,CD015530,CD015551,2,3,6,0.2857,mullane 2019; thomas 2022
CD015530__A3,CD015551__A3,CD015530,CD015551,2,3,6,0.2857,mullane 2019; thomas 2022
CD012214__A1,CD013111__A1,CD012214,CD013111,2,7,3,0.25,shan 2014; yang 2020
CD012214__A1,CD013111__A2,CD012214,CD013111,2,7,3,0.25,shan 2014; yang 2020
CD012214__A1,CD013111__A3,CD012214,CD013111,2,7,3,0.25,shan 2014; yang 2020
CD012067__A14,CD013414__A6,CD012067,CD013414,2,7,3,0.25,brosnahan 2022; tame-pkd 2018
CD013053__A2,CD013054__A3,CD013053,CD013054,2,5,5,0.25,de miguel 1999; ramos 2003
CD015215__A12,CD015252__A2,CD015215,CD015252,2,5,5,0.25,dempster 1993; gates 1989
CD015215__A13,CD015252__A3,CD015215,CD015252,2,4,6,0.25,dempster 1993; gates 1989
CD015530__A1,CD015551__A1,CD015530,CD015551,2,5,5,0.25,mullane 2019; thomas 2022
CD001552__A4,CD015101__A2,CD001552,CD015101,2,7,4,0.2222,hui 2005; ucan 2006
CD012214__A1,CD013111__A4,CD012214,CD013111,2,7,4,0.2222,shan 2014; yang 2020
CD012067__A12,CD013414__A2,CD012067,CD013414,2,6,5,0.2222,brosnahan 2022; tame-pkd 2018
CD012067__A12,CD013414__A8,CD012067,CD013414,2,6,5,0.2222,brosnahan 2022; tame-pkd 2018
CD012067__A13,CD013414__A2,CD012067,CD013414,2,6,5,0.2222,brosnahan 2022; tame-pkd 2018
CD012067__A13,CD013414__A8,CD012067,CD013414,2,6,5,0.2222,brosnahan 2022; tame-pkd 2018
CD013051__A2,CD013053__A2,CD013051,CD013053,2,6,5,0.2222,esposito 1990; ramos 2003
CD013051__A2,CD013054__A3,CD013051,CD013054,2,6,5,0.2222,kaygusuz 2002; ramos 2003
CD013053__A1,CD013054__A3,CD013053,CD013054,2,6,5,0.2222,de miguel 1999; ramos 2003
CD015215__A12,CD015252__A3,CD015215,CD015252,2,5,6,0.2222,dempster 1993; gates 1989
CD015215__A13,CD015252__A4,CD015215,CD015252,2,4,7,0.2222,dempster 1993; gates 1989
CD015530__A1,CD015551__A2,CD015530,CD015551,2,5,6,0.2222,mullane 2019; thomas 2022
CD015530__A1,CD015551__A3,CD015530,CD015551,2,5,6,0.2222,mullane 2019; thomas 2022
CD001552__A4,CD015101__A1,CD001552,CD015101,2,7,5,0.2,hui 2005; ucan 2006
CD012712__A12,CD013827__A13,CD012712,CD013827,2,10,2,0.2,chen 2019; zhu 2021
CD012067__A12,CD013414__A4,CD012067,CD013414,2,6,6,0.2,brosnahan 2022; tame-pkd 2018
CD012067__A13,CD013414__A4,CD012067,CD013414,2,6,6,0.2,brosnahan 2022; tame-pkd 2018
CD012067__A14,CD013414__A2,CD012067,CD013414,2,7,5,0.2,brosnahan 2022; tame-pkd 2018
CD012067__A14,CD013414__A8,CD012067,CD013414,2,7,5,0.2,brosnahan 2022; tame-pkd 2018
CD013051__A2,CD013053__A1,CD013051,CD013053,2,6,6,0.2,esposito 1990; ramos 2003
CD013052__A2,CD013053__A2,CD013052,CD013053,2,7,5,0.2,de miguel 1999; esposito 1990
CD013232__A21,CD014965__A12,CD013232,CD014965,2,10,2,0.2,loebel 2016; owen 2009
CD015215__A12,CD015252__A4,CD015215,CD015252,2,5,7,0.2,dempster 1993; gates 1989
CD001552__A3,CD015101__A2,CD001552,CD015101,2,9,4,0.1818,hui 2005; ucan 2006
CD012067__A12,CD013414__A1,CD012067,CD013414,2,6,7,0.1818,brosnahan 2022; tame-pkd 2018
CD012067__A13,CD013414__A1,CD012067,CD013414,2,6,7,0.1818,brosnahan 2022; tame-pkd 2018
CD012067__A14,CD013414__A4,CD012067,CD013414,2,7,6,0.1818,brosnahan 2022; tame-pkd 2018
CD013052__A2,CD013053__A1,CD013052,CD013053,2,7,6,0.1818,de miguel 1999; esposito 1990
CD013053__A2,CD013054__A7,CD013053,CD013054,2,5,8,0.1818,de miguel 1999; ramos 2003
CD013232__A21,CD014965__A11,CD013232,CD014965,2,10,3,0.1818,ichikawa 2017; marcus 2009
CD013232__A21,CD014965__A22,CD013232,CD014965,2,10,3,0.1818,mccracken 2002; owen 2009
CD013232__A19,CD014965__A12,CD013232,CD014965,2,11,2,0.1818,loebel 2016; owen 2009
CD015215__A2,CD015252__A2,CD015215,CD015252,2,8,5,0.1818,dempster 1993; maw 1983
CD015254__A7,CD015255__A14,CD015254,CD015255,2,9,4,0.1818,podoshin 1990; puhakka 1985
CD015254__A7,CD015255__A15,CD015254,CD015255,2,9,4,0.1818,podoshin 1990; puhakka 1985
CD015254__A8,CD015255__A14,CD015254,CD015255,2,9,4,0.1818,podoshin 1990; puhakka 1985
CD015254__A8,CD015255__A15,CD015254,CD015255,2,9,4,0.1818,podoshin 1990; puhakka 1985
CD015254__A9,CD015255__A14,CD015254,CD015255,2,9,4,0.1818,podoshin 1990; puhakka 1985
